order,batch_id,module_id,module,hub_sc,accent,batch_title,sc_count,sc_ids,page_files,special_prompt,module_prompt,tier,status
40,RD-E05,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Staking community,14,sc369StakingGuide;sc370StakingFAQ;sc371StakingNotifications;sc372StakingRecommendations;sc387StakingSocialFeed;sc388StakingCommunityGovernance;sc389StakingProposals;sc390StakingVotingDetail;sc391StakingVoting;sc392StakingForum;sc393StakingWebhooks;sc394StakingDataExport;sc395StakingThirdPartyIntegrations;sc396StakingDeveloperConsole,lib/features/earn/presentation/pages/staking_guide_page.dart;lib/features/earn/presentation/pages/staking_faq_page.dart;lib/features/earn/presentation/pages/staking_notifications_page.dart;lib/features/earn/presentation/pages/staking_recommendations_page.dart;lib/features/earn/presentation/pages/staking_social_feed_page.dart;lib/features/earn/presentation/pages/staking_community_governance_page.dart;lib/features/earn/presentation/pages/staking_proposals_page.dart;lib/features/earn/presentation/pages/staking_voting_page.dart;lib/features/earn/presentation/pages/staking_voting_page.dart;lib/features/earn/presentation/pages/staking_forum_page.dart;lib/features/earn/presentation/pages/staking_webhooks_page.dart;lib/features/earn/presentation/pages/staking_data_export_page.dart;lib/features/earn/presentation/pages/staking_third_party_integrations_page.dart;lib/features/earn/presentation/pages/staking_developer_console_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
41,RD-E06,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Savings entry,6,sc329Savings;sc330SavingsProductDetail;sc331SavingsRedeem;sc332SavingsReceipt;sc333SavingsPortfolio;sc334SavingsHistory,lib/features/earn/presentation/pages/savings_page.dart;lib/features/earn/presentation/pages/savings_product_detail_page.dart;lib/features/earn/presentation/pages/savings_redeem_page.dart;lib/features/earn/presentation/pages/savings_receipt_page.dart;lib/features/earn/presentation/pages/savings_portfolio_page.dart;lib/features/earn/presentation/pages/savings_history_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
42,RD-E07,RD-M09,earn,sc327StakingEarn,Yield + risk transparency,Savings tools,18,sc335SavingsGuide;sc336SavingsFAQ;sc337SavingsNotifications;sc338SavingsRecommendations;sc339SavingsRiskAssessment;sc340SavingsComparison;sc341AutoCompoundSettings;sc342SavingsGoal;sc343SavingsAnalytics;sc344SavingsAutoRebalance;sc345SavingsNotificationPreferences;sc346SavingsDca;sc347SavingsSmartSuggestions;sc348SavingsExport;sc349SavingsBacktest;sc350SavingsAutoPilot;sc351SavingsLadder;sc352SavingsWhatIf,lib/features/earn/presentation/pages/savings_guide_page.dart;lib/features/earn/presentation/pages/savings_faq_page.dart;lib/features/earn/presentation/pages/savings_notifications_page.dart;lib/features/earn/presentation/pages/savings_recommendations_page.dart;lib/features/earn/presentation/pages/savings_risk_assessment_page.dart;lib/features/earn/presentation/pages/savings_comparison_page.dart;lib/features/earn/presentation/pages/auto_compound_settings_page.dart;lib/features/earn/presentation/pages/savings_goal_page.dart;lib/features/earn/presentation/pages/savings_analytics_page.dart;lib/features/earn/presentation/pages/savings_auto_rebalance_page.dart;lib/features/earn/presentation/pages/savings_notification_preferences_page.dart;lib/features/earn/presentation/pages/savings_dca_page.dart;lib/features/earn/presentation/pages/savings_smart_suggestions_page.dart;lib/features/earn/presentation/pages/savings_export_page.dart;lib/features/earn/presentation/pages/savings_backtest_page.dart;lib/features/earn/presentation/pages/savings_autopilot_page.dart;lib/features/earn/presentation/pages/savings_ladder_page.dart;lib/features/earn/presentation/pages/savings_what_if_page.dart,,prompt-redesign/earn-staking-hub.md,B_child,done
43,RD-C01,RD-M10,dca,sc169Dca,Disciplined investing,Hub & schedule,5,sc169Dca;sc172DcaScheduleConfig;sc173DcaScheduleAnalytics;sc175DcaDynamicAmount;sc179DcaSmartRules,lib/features/dca/presentation/pages/dca_page.dart;lib/features/dca/presentation/pages/dca_schedule_config_page.dart;lib/features/dca/presentation/pages/dca_schedule_analytics_page.dart;lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart;lib/features/dca/presentation/pages/dca_smart_rules_page.dart,,,B_simple,done
44,RD-C02,RD-M10,dca,sc169Dca,Disciplined investing,Rebalance,4,sc170DcaRebalanceConfig;sc171DcaRebalanceDashboard;sc408DcaRebalanceEdit;sc409DcaRebalanceHistory,lib/features/dca/presentation/pages/dca_rebalance_config_page.dart;lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart;lib/features/dca/presentation/pages/dca_rebalance_config_page.dart;lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,,,B_simple,done
45,RD-C03,RD-M10,dca,sc169Dca,Disciplined investing,Optimizer,4,sc174DcaPortfolioOptimizer;sc176DcaBacktester;sc177DcaMultiAsset;sc178DcaPerformanceCompare,lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart;lib/features/dca/presentation/pages/dca_backtester_page.dart;lib/features/dca/presentation/pages/dca_multi_asset_page.dart;lib/features/dca/presentation/pages/dca_performance_compare_page.dart,,,B_simple,done
46,RD-R01,RD-M11,predictions,sc027PredictionsHome,"Probability, not casino",Hub & discovery,5,sc027PredictionsHome;sc028PredictionsSearch;sc029PredictionsBreaking;sc030PredictionEventDetail;sc039PredictionEventCalendar,lib/features/predictions/presentation/pages/predictions_home_page.dart;lib/features/predictions/presentation/pages/predictions_search_page.dart;lib/features/predictions/presentation/pages/predictions_breaking_page.dart;lib/features/predictions/presentation/pages/prediction_event_detail_page.dart;lib/features/predictions/presentation/pages/prediction_event_calendar_page.dart,prompt-redesign/predictions-hub.md,prompt-redesign/predictions-hub.md,A_hub,done
47,RD-R02,RD-M11,predictions,sc027PredictionsHome,"Probability, not casino",Portfolio & social,7,sc031PredictionsPortfolio;sc032PredictionsRewards;sc033PredictionsLeaderboard;sc034PredictionsGlobalActivity;sc040PredictionSocial;sc042PredictionTournaments;sc414PredictionTournamentDetail,lib/features/predictions/presentation/pages/predictions_portfolio_page.dart;lib/features/predictions/presentation/pages/predictions_rewards_page.dart;lib/features/predictions/presentation/pages/predictions_leaderboard_page.dart;lib/features/predictions/presentation/pages/predictions_global_activity_page.dart;lib/features/predictions/presentation/pages/prediction_social_page.dart;lib/features/predictions/presentation/pages/prediction_tournaments_page.dart;lib/features/predictions/presentation/widgets/prediction_tournaments_detail.dart,,prompt-redesign/predictions-hub.md,B_child,done
48,RD-R03,RD-M11,predictions,sc027PredictionsHome,"Probability, not casino",Tools,6,sc035PredictionOrderReceipt;sc036PredictionRiskCalculator;sc037PredictionMarketMaker;sc038PredictionPortfolioAnalyzer;sc041PredictionAdvancedChart;sc043PredictionDataIntegration,lib/features/predictions/presentation/pages/prediction_order_receipt_page.dart;lib/features/predictions/presentation/pages/prediction_risk_calculator_page.dart;lib/features/predictions/presentation/pages/prediction_market_maker_page.dart;lib/features/predictions/presentation/pages/prediction_portfolio_analyzer_page.dart;lib/features/predictions/presentation/pages/prediction_advanced_chart_page_part_01.dart;lib/features/predictions/presentation/pages/prediction_data_integration_page.dart,,prompt-redesign/predictions-hub.md,B_child,done
49,RD-A01,RD-M12,arena,sc184ArenaHome,Points-only,Hub & studio,6,sc184ArenaHome;sc185ArenaStudio;sc186ArenaSmartRules;sc187ArenaPresetLibrary;sc188ArenaGovernanceGate;sc209ArenaGuide,lib/features/arena/presentation/pages/arena_home_page.dart;lib/features/arena/presentation/pages/arena_studio_page.dart;lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart;lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart;lib/features/arena/presentation/pages/arena_governance_gate_page.dart;lib/features/arena/presentation/pages/arena_guide_page.dart,prompt-redesign/arena-hub.md,prompt-redesign/arena-hub.md,A_hub,done
50,RD-A02,RD-M12,arena,sc184ArenaHome,Points-only,Challenge flow,7,sc189ArenaModeDetail;sc190ArenaChallengeDetail;sc191ArenaJoin;sc192ArenaResolutionCenter;sc193ArenaCreator;sc194ArenaLeaderboard;sc195VerifiedChallenges,lib/features/arena/presentation/pages/arena_mode_detail_page.dart;lib/features/arena/presentation/pages/arena_challenge_detail_page.dart;lib/features/arena/presentation/pages/arena_join_page.dart;lib/features/arena/presentation/pages/arena_resolution_center_page.dart;lib/features/arena/presentation/pages/arena_creator_page.dart;lib/features/arena/presentation/pages/arena_leaderboard_page.dart;lib/features/arena/presentation/pages/verified_challenges_page.dart,,prompt-redesign/arena-hub.md,B_child,done
51,RD-A03,RD-M12,arena,sc184ArenaHome,Points-only,Points & ledger,5,sc196ArenaPoints;sc200ArenaPointsEntryDetail;sc201ArenaPointsLedger;sc205MyArena;sc204MyArenaReports,lib/features/arena/presentation/pages/arena_points_page.dart;lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart;lib/features/arena/presentation/pages/arena_points_ledger_page.dart;lib/features/arena/presentation/pages/my_arena_page.dart;lib/features/arena/presentation/pages/my_arena_reports_page.dart,,prompt-redesign/arena-hub.md,B_child,done
52,RD-A04,RD-M12,arena,sc184ArenaHome,Points-only,Safety & trust,5,sc198ArenaSafetyCenter;sc199ArenaTrustBreakdown;sc202ArenaReportCase;sc203ArenaBlockedUsers;sc197ArenaFlowMap,lib/features/arena/presentation/pages/arena_safety_center_page.dart;lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart;lib/features/arena/presentation/pages/arena_report_case_page.dart;lib/features/arena/presentation/pages/arena_blocked_users_page.dart;lib/features/arena/presentation/pages/arena_flow_map_page.dart,,prompt-redesign/arena-hub.md,B_child,done
53,RD-A05,RD-M12,arena,sc184ArenaHome,Points-only,Production bridges,3,sc206ArenaProductionReady;sc207ArenaPredictionBridgeFoundation;sc208ConnectedEcosystemProduction,lib/features/arena/presentation/pages/arena_production_ready_page.dart;lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page.dart;lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart,,prompt-redesign/arena-hub.md,B_child,done
54,RD-L01,RD-M13,launchpad,sc295Launchpad,IDO participation,Hub & portfolio,4,sc295Launchpad;sc296LaunchpadPortfolio;sc297LaunchpadPerformance;sc318LaunchpadDetail,lib/features/launchpad/presentation/pages/launchpad_page.dart;lib/features/launchpad/presentation/pages/launchpad_portfolio_page.dart;lib/features/launchpad/presentation/pages/launchpad_performance_page.dart;lib/features/launchpad/presentation/pages/launchpad_detail_page.dart,prompt-redesign/launchpad-hub.md,prompt-redesign/launchpad-hub.md,A_hub,done
55,RD-L02,RD-M13,launchpad,sc295Launchpad,IDO participation,Participation,7,sc298LaunchpadStaking;sc299LaunchpadIdoBridge;sc300LaunchpadContract;sc301LaunchpadReceipt;sc302LaunchpadClaimReceipt;sc303LaunchpadBridgeOrder;sc304LaunchpadBatchClaim,lib/features/launchpad/presentation/pages/launchpad_staking_page.dart;lib/features/launchpad/presentation/pages/launchpad_ido_bridge_page.dart;lib/features/launchpad/presentation/pages/launchpad_contract_page.dart;lib/features/launchpad/presentation/pages/launchpad_receipt_page.dart;lib/features/launchpad/presentation/pages/launchpad_claim_receipt_page.dart;lib/features/launchpad/presentation/pages/launchpad_bridge_order_page.dart;lib/features/launchpad/presentation/pages/launchpad_batch_claim_page.dart,,prompt-redesign/launchpad-hub.md,B_child,done
56,RD-L03,RD-M13,launchpad,sc295Launchpad,IDO participation,Advanced tools,13,sc305LaunchpadBridgeCompare;sc306LaunchpadNotifSound;sc307LaunchpadEventLog;sc308LaunchpadAbiDiff;sc309LaunchpadAddressBook;sc310LaunchpadWebhooks;sc311LaunchpadGasTracker;sc312LaunchpadRebalance;sc313LaunchpadMultisig;sc314LaunchpadSwapAggregator;sc315LaunchpadLimitOrders;sc316LaunchpadDcaBuilder;sc317LaunchpadRiskAnalytics,lib/features/launchpad/presentation/pages/launchpad_bridge_compare_page.dart;lib/features/launchpad/presentation/pages/launchpad_notif_sound_page.dart;lib/features/launchpad/presentation/pages/launchpad_event_log_page.dart;lib/features/launchpad/presentation/pages/launchpad_abi_diff_page.dart;lib/features/launchpad/presentation/pages/launchpad_address_book_page.dart;lib/features/launchpad/presentation/pages/launchpad_webhooks_page.dart;lib/features/launchpad/presentation/pages/launchpad_gas_tracker_page.dart;lib/features/launchpad/presentation/pages/launchpad_rebalance_page.dart;lib/features/launchpad/presentation/pages/launchpad_multisig_page.dart;lib/features/launchpad/presentation/pages/launchpad_swap_aggregator_page.dart;lib/features/launchpad/presentation/pages/launchpad_limit_orders_page.dart;lib/features/launchpad/presentation/pages/launchpad_dca_builder_page.dart;lib/features/launchpad/presentation/pages/launchpad_risk_analytics_page.dart,,prompt-redesign/launchpad-hub.md,B_child,done
57,RD-M14-B01,RD-M14,discovery,sc283UnifiedSearch,Discovery,discovery — all,3,sc283UnifiedSearch;sc284TopicHub;sc285TopicCrypto,lib/features/discovery/presentation/pages/unified_search_page.dart;lib/features/discovery/presentation/pages/topic_hub_page.dart;lib/features/discovery/presentation/pages/topic_hub_page.dart,,,B_simple,done
58,RD-M15-B01,RD-M15,news,sc047News,Information,news — all,1,sc047News,lib/features/news/presentation/pages/news_page.dart,,,B_simple,done
59,RD-M16-B01,RD-M16,notifications,sc291Notifications,Actionable alerts,notifications — all,1,sc291Notifications,lib/features/notifications/presentation/pages/notifications_page.dart,,,B_simple,done
60,RD-M17-B01,RD-M17,referral,sc290ReferralHome,No hype,referral — all,5,sc286ReferralHistory;sc287ReferralRewards;sc288ReferralRules;sc289ReferralFriendDetail;sc290ReferralHome,lib/features/referral/presentation/pages/referral_history_page.dart;lib/features/referral/presentation/pages/referral_rewards_page.dart;lib/features/referral/presentation/pages/referral_rules_page.dart;lib/features/referral/presentation/pages/referral_friend_detail_page.dart;lib/features/referral/presentation/pages/referral_home_page.dart,,,B_simple,done
61,RD-M18-B01,RD-M18,support,sc292HelpCenter,Help & trust,support — all,3,sc292HelpCenter;sc293Announcements;sc294Support,lib/features/support/presentation/pages/help_center_page.dart;lib/features/support/presentation/pages/announcements_page.dart;lib/features/support/presentation/pages/support_page.dart,,,B_simple,done
62,RD-M19-B01,RD-M19,rewards,sc319RewardsHub,Rewards hub,rewards — all,1,sc319RewardsHub,lib/features/rewards/presentation/pages/rewards_hub_page.dart,,,B_simple,done
63,RD-M20-B01,RD-M20,cross_module,sc321UnifiedPortfolio,Unified views,cross_module — all,4,sc321UnifiedPortfolio;sc322CrossModuleAnalytics;sc323SmartAlertCenter;sc324TaxReportCenter,lib/features/cross_module/presentation/pages/unified_portfolio_dashboard.dart;lib/features/cross_module/presentation/pages/cross_module_analytics.dart;lib/features/cross_module/presentation/pages/smart_alert_center.dart;lib/features/cross_module/presentation/pages/tax_report_center.dart,,,B_simple,done
64,RD-M21-B01,RD-M21,enterprise_states,sc320EnterpriseStates,Enterprise states,enterprise_states — all,1,sc320EnterpriseStates,lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart,,,B_simple,done
65,RD-M22-B01,RD-M22,admin,sc180AdminHome,Ops dashboards,admin — all,5,sc180AdminHome;sc181AnalyticsDashboard;sc182AbTestDashboard;sc183FunnelDashboard;sc410AdminSettings,lib/features/admin/presentation/pages/admin_home.dart;lib/features/admin/presentation/pages/analytics_dashboard.dart;lib/features/admin/presentation/pages/ab_test_dashboard.dart;lib/features/admin/presentation/pages/funnel_dashboard.dart;lib/features/admin/presentation/pages/admin_settings_page.dart,,,B_simple,done
66,RD-M23-B01,RD-M23,dev,sc399DesignSystem,Design system,dev — all,6,sc325RouteChecker;sc326PerformanceMonitor;sc398MissingScreensShowcase;sc399DesignSystem;sc400DcaOverviewDemo;sc401CopyTradingCardDemo,lib/features/dev/presentation/pages/route_checker_page.dart;lib/features/dev/presentation/pages/performance_monitor.dart;lib/features/dev/presentation/pages/missing_screens_showcase_page.dart;lib/features/dev/presentation/pages/design_system_page.dart;lib/features/dca/presentation/pages/dca_overview_demo.dart;lib/features/trade/presentation/pages/copy_trading_card_demo.dart,,,B_simple,done
