target_order,target_layer,recommended_surface,product_hub_group,product_area,technical_modules,capability,flow,screen_count,lifecycle_stage,hub_priority,entry_route_examples,route_name_examples,notes
066,"Yield, Savings and Token Access",Trade tab product hub,Earn,Earn and Savings,earn,Staking / Earn,Staking education and recommendations,4,Discover / orient,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/earn/guide | /earn/faq | /earn/notifications | /earn/recommendations,sc369StakingGuide | sc370StakingFAQ | sc371StakingNotifications | sc372StakingRecommendations,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
067,"Yield, Savings and Token Access",Trade tab product hub,Earn,Earn and Savings,earn,Staking / Earn,"Staking community, governance and integrations",10,Operate / extend,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/earn/social-feed | /earn/community-governance | /earn/proposals | /earn/voting/:proposalId,sc387StakingSocialFeed | sc388StakingCommunityGovernance | sc389StakingProposals | sc390StakingVotingDetail,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
068,"Yield, Savings and Token Access",Trade tab product hub,Earn,Earn and Savings,earn,Savings,Savings product and portfolio lifecycle,6,Monitor / manage,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/earn/savings | /earn/savings/product/sample | /earn/savings/redeem/pos001 | /earn/savings/receipt,sc329Savings | sc330SavingsProductDetail | sc331SavingsRedeem | sc332SavingsReceipt,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
069,"Yield, Savings and Token Access",Trade tab product hub,Earn,Earn and Savings,earn,Savings,"Savings education, risk and comparison",6,Discover / orient,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/earn/savings/guide | /earn/savings/faq | /earn/savings/notifications | /earn/savings/recommendations,sc335SavingsGuide | sc336SavingsFAQ | sc337SavingsNotifications | sc338SavingsRecommendations,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
070,"Yield, Savings and Token Access",Trade tab product hub,Earn,Earn and Savings,earn,Savings,"Savings automation, analytics and planning",12,Decide / analyze,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/earn/savings/auto-compound | /earn/savings/goals | /earn/savings/analytics | /earn/savings/rebalance,sc341AutoCompoundSettings | sc342SavingsGoal | sc343SavingsAnalytics | sc344SavingsAutoRebalance,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
071,"Yield, Savings and Token Access",Trade tab product hub,Launchpad,Launchpad and Token Access,launchpad,Launchpad Portfolio and Staking,"Launchpad overview, portfolio and staking",4,Discover / orient,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/launchpad | /launchpad/portfolio | /launchpad/performance | /launchpad/staking,sc295Launchpad | sc296LaunchpadPortfolio | sc297LaunchpadPerformance | sc298LaunchpadStaking,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
072,"Yield, Savings and Token Access",Trade tab product hub,Launchpad,Launchpad and Token Access,launchpad,Launchpad Participation and Settlement,"Launchpad IDO bridge, contract and receipt flow",5,Submit / confirm / settle,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/launchpad/idobridge/sample | /launchpad/contract/sample | /launchpad/receipt/sub001 | /launchpad/batch-claim,sc299LaunchpadIdoBridge | sc300LaunchpadContract | sc301LaunchpadReceipt | sc304LaunchpadBatchClaim,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
073,"Yield, Savings and Token Access",Trade tab product hub,Launchpad,Launchpad and Token Access,launchpad,Launchpad Participation and Settlement,Launchpad claim and receipt flow,3,Submit / confirm / settle,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/launchpad/claim-receipt/pos001 | /launchpad/bridge-order/tx001 | /launchpad/notif-sound,sc302LaunchpadClaimReceipt | sc303LaunchpadBridgeOrder | sc306LaunchpadNotifSound,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
074,"Yield, Savings and Token Access",Trade tab product hub,Launchpad,Launchpad and Token Access,launchpad,Launchpad Operations and Risk Tools,"Launchpad execution, automation and risk tools",7,Setup / configure,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/launchpad/rebalance | /launchpad/multisig | /launchpad/swap-aggregator | /launchpad/limit-orders,sc312LaunchpadRebalance | sc313LaunchpadMultisig | sc314LaunchpadSwapAggregator | sc315LaunchpadLimitOrders,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
075,"Yield, Savings and Token Access",Trade tab product hub,Launchpad,Launchpad and Token Access,launchpad,Launchpad Operations and Risk Tools,"Launchpad operations, notifications and address book",5,Discover / orient,"Yield/token access hub: product detail, risk, allocation, receipt, claim/redeem.",/launchpad/event-log | /launchpad/abi-diff/contract001 | /launchpad/address-book | /launchpad/webhooks,sc307LaunchpadEventLog | sc308LaunchpadAbiDiff | sc309LaunchpadAddressBook | sc310LaunchpadWebhooks,Use discover -> terms/risk -> allocation/setup -> confirm -> receipt -> manage/redeem/claim sequence.
076,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,rewards,Rewards and Referral,Rewards hub,1,Discover / orient,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/rewards,sc319RewardsHub,"Keep flow calm, dark, scan-friendly, and state-driven."
077,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,referral,Rewards and Referral,Referral program home,1,Discover / orient,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/referral,sc290ReferralHome,"Keep flow calm, dark, scan-friendly, and state-driven."
078,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,referral,Rewards and Referral,Referral rules,1,Operate / extend,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/referral/rules,sc288ReferralRules,"Keep flow calm, dark, scan-friendly, and state-driven."
079,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,referral,Rewards and Referral,Referral history,1,Monitor / manage,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/referral/history,sc286ReferralHistory,"Keep flow calm, dark, scan-friendly, and state-driven."
080,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,referral,Rewards and Referral,Referral friend detail,1,Decide / analyze,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/referral/friend/:friendId,sc289ReferralFriendDetail,"Keep flow calm, dark, scan-friendly, and state-driven."
081,"Community, Points and Growth",Home / Profile tab,Rewards and referral,Growth and Rewards,referral,Rewards and Referral,Referral rewards,1,Operate / extend,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/referral/rewards,sc287ReferralRewards,"Keep flow calm, dark, scan-friendly, and state-driven."
082,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Open Arena Discovery and Management,"Arena discovery, guide and production handoff",4,Discover / orient,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena | /arena/flow-map | /arena/production | /arena/guide,sc184ArenaHome | sc197ArenaFlowMap | sc206ArenaProductionReady | sc209ArenaGuide,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
083,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Open Arena Gameplay and Creation,Arena creation studio,4,Operate / extend,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/studio | /arena/studio/smart-rules | /arena/studio/presets | /arena/studio/governance,sc185ArenaStudio | sc186ArenaSmartRules | sc187ArenaPresetLibrary | sc188ArenaGovernanceGate,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
084,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Open Arena Gameplay and Creation,"Arena mode, challenge and resolution flow",4,Operate / extend,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/mode/:modeId | /arena/challenge/:challengeId | /arena/join/:challengeId | /arena/resolution,sc189ArenaModeDetail | sc190ArenaChallengeDetail | sc191ArenaJoin | sc192ArenaResolutionCenter,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
085,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Open Arena Gameplay and Creation,"Arena creator, leaderboard and verified challenges",3,Decide / analyze,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/creator/:creatorId | /arena/leaderboard | /arena/verified,sc193ArenaCreator | sc194ArenaLeaderboard | sc195VerifiedChallenges,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
086,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Open Arena Discovery and Management,My Arena management,1,Monitor / manage,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/my,sc205MyArena,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
087,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,"Arena Safety, Trust and Ledger","Arena safety, moderation and reporting",4,Monitor / manage,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/safety | /arena/report/:caseId | /arena/blocked | /arena/my-reports,sc198ArenaSafetyCenter | sc202ArenaReportCase | sc203ArenaBlockedUsers | sc204MyArenaReports,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
088,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,"Arena Safety, Trust and Ledger",Arena trust and points ledger,3,Monitor / manage,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/trust/:userId | /arena/ledger/entry/:entryId | /arena/ledger,sc199ArenaTrustBreakdown | sc200ArenaPointsEntryDetail | sc201ArenaPointsLedger,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
089,"Community, Points and Growth",Home / Trade product hub,Open Arena,Open Arena,arena,Arena Prediction Bridge,Arena and Prediction bridge,2,Operate / extend,"Community/growth hub: points, referrals, rewards, fair-play, profile summaries.",/arena/bridge | /arena/ecosystem,sc207ArenaPredictionBridgeFoundation | sc208ConnectedEcosystemProduction,Keep points-only language and separate Arena ledger/completion from trading wallet/PnL concepts.
090,"Support, Recovery and Service Operations",Profile tab / contextual support,Support,Support and Service,support,Support and Help,Help center,1,Operate / extend,Recovery hub: contextual cases tied to order/tx/security/product state.,/support,sc294Support,"Must become contextual support for orders, withdrawals, KYC, P2P, staking, launchpad, and security cases."
091,"Support, Recovery and Service Operations",Profile tab / contextual support,Support,Support and Service,support,Support and Help,Support ticket center,1,Recover / resolve,Recovery hub: contextual cases tied to order/tx/security/product state.,/support/help,sc292HelpCenter,"Must become contextual support for orders, withdrawals, KYC, P2P, staking, launchpad, and security cases."
092,"Support, Recovery and Service Operations",Profile tab / contextual support,Support,Support and Service,support,Support and Help,Announcements,1,Operate / extend,Recovery hub: contextual cases tied to order/tx/security/product state.,/support/announcements,sc293Announcements,"Must become contextual support for orders, withdrawals, KYC, P2P, staking, launchpad, and security cases."
093,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,cross_module,Enterprise Cross-Module Intelligence,Unified portfolio intelligence,1,Decide / analyze,Gated operational tooling.,/unified-portfolio,sc321UnifiedPortfolio,"Keep flow calm, dark, scan-friendly, and state-driven."
094,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,cross_module,Enterprise Cross-Module Intelligence,Smart alerts,1,Operate / extend,Gated operational tooling.,/smart-alerts,sc323SmartAlertCenter,"Keep flow calm, dark, scan-friendly, and state-driven."
095,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,cross_module,Enterprise Cross-Module Intelligence,Cross-module analytics,1,Decide / analyze,Gated operational tooling.,/cross-module-analytics,sc322CrossModuleAnalytics,"Keep flow calm, dark, scan-friendly, and state-driven."
096,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,cross_module,Enterprise Cross-Module Intelligence,Tax reporting,1,Monitor / manage,Gated operational tooling.,/tax-reports,sc324TaxReportCenter,"Keep flow calm, dark, scan-friendly, and state-driven."
097,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,admin,Admin and Analytics,Admin operations,2,Operate / extend,Gated operational tooling.,/admin | /admin/settings,sc180AdminHome | sc410AdminSettings,"Keep flow calm, dark, scan-friendly, and state-driven."
098,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,admin,Admin and Analytics,Admin analytics dashboards,3,Decide / analyze,Gated operational tooling.,/admin/analytics | /admin/abtests | /admin/funnels,sc181AnalyticsDashboard | sc182AbTestDashboard | sc183FunnelDashboard,"Keep flow calm, dark, scan-friendly, and state-driven."
099,Gated Operations and Internal Tooling,Admin gated,Enterprise operations,Enterprise Operations,enterprise_states,Enterprise Cross-Module Intelligence,Enterprise state patterns,1,Operate / extend,Gated operational tooling.,/enterprise-states,sc320EnterpriseStates,"Keep flow calm, dark, scan-friendly, and state-driven."
100,Gated Operations and Internal Tooling,Dev gated,Developer QA,Developer and QA Tooling,dev,Developer and QA Tools,Route QA,1,Operate / extend,Gated operational tooling.,/dev/route-checker,sc325RouteChecker,Keep dev-gated; do not expose in production customer IA.
101,Gated Operations and Internal Tooling,Dev gated,Developer QA,Developer and QA Tooling,dev,Developer and QA Tools,Design system QA,1,Operate / extend,Gated operational tooling.,/dev/design-system,sc399DesignSystem,Keep dev-gated; do not expose in production customer IA.
102,Gated Operations and Internal Tooling,Dev gated,Developer QA,Developer and QA Tooling,dev,Developer and QA Tools,Performance QA,1,Monitor / manage,Gated operational tooling.,/dev/performance-monitor,sc326PerformanceMonitor,Keep dev-gated; do not expose in production customer IA.
103,Gated Operations and Internal Tooling,Dev gated,Developer QA,Developer and QA Tooling,dev,Developer and QA Tools,Development showcase,1,Operate / extend,Gated operational tooling.,/dev/showcase,sc398MissingScreensShowcase,Keep dev-gated; do not expose in production customer IA.
104,Gated Operations and Internal Tooling,Dev gated,Developer QA,Developer and QA Tooling,trade,Developer and QA Tools,Copy trading card demo,1,Operate / extend,Gated operational tooling.,/demo/copy-card,sc401CopyTradingCardDemo,Keep dev-gated; do not expose in production customer IA.
