product_area,technical_module,capability,flow,sc,route_name,path,widget,file,router_group
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-123,sc123BotHistory,/trade/bots/history,BotHistoryPage,flutter_app/lib/features/trade/presentation/pages/bot_history_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-124,sc124BotPerformanceAnalytics,/trade/bots/performance-analytics,BotPerformanceAnalyticsPage,flutter_app/lib/features/trade/presentation/pages/bot_performance_analytics_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot strategy testing and optimization,SC-125,sc125BotBacktesting,/trade/bots/backtesting,BotBacktestingPage,flutter_app/lib/features/trade/presentation/pages/bot_backtesting_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot strategy testing and optimization,SC-126,sc126BotStrategyCompare,/trade/bots/strategy-compare,BotStrategyComparePage,flutter_app/lib/features/trade/presentation/pages/bot_strategy_compare_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot strategy testing and optimization,SC-127,sc127BotOptimization,/trade/bots/optimization,BotOptimizationPage,flutter_app/lib/features/trade/presentation/pages/bot_optimization_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-128,sc128BotPortfolioDashboard,/trade/bots/portfolio-dashboard,BotPortfolioDashboardPage,flutter_app/lib/features/trade/presentation/pages/bot_portfolio_dashboard_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-129,sc129BotDrawdownAnalyzer,/trade/bots/drawdown-analyzer,BotDrawdownAnalyzerPage,flutter_app/lib/features/trade/presentation/pages/bot_drawdown_analyzer_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-130,sc130BotEquityCurve,/trade/bots/equity-curve,BotEquityCurvePage,flutter_app/lib/features/trade/presentation/pages/bot_equity_curve_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-131,sc131BotGuide,/trade/bots/guide,BotGuidePage,flutter_app/lib/features/trade/presentation/pages/bot_guide_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-132,sc132BotFaq,/trade/bots/faq,BotFaqPage,flutter_app/lib/features/trade/presentation/pages/bot_faq_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,Bot performance and reporting,SC-133,sc133BotTaxReporting,/trade/bots/tax-reporting,BotTaxReportingPage,flutter_app/lib/features/trade/presentation/pages/bot_tax_reporting_page.dart,trade_routes.dart
Trading Automation,trade,Trading Bots,"Bot onboarding, education and API docs",SC-134,sc134BotApiDocumentation,/trade/bots/api-documentation,BotApiDocumentationPage,flutter_app/lib/features/trade/presentation/pages/bot_api_documentation_page.dart,trade_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet overview, history and transaction detail",SC-135,sc135Wallet,/wallet,WalletPage,flutter_app/lib/features/wallet/presentation/pages/wallet_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet overview, history and transaction detail",SC-136,sc136TxHistory,/wallet/history,TransactionHistoryPage,flutter_app/lib/features/wallet/presentation/pages/transaction_history_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Deposit and pending deposit tracking,SC-137,sc137Deposit,/wallet/deposit,DepositPage,flutter_app/lib/features/wallet/presentation/pages/deposit_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Deposit and pending deposit tracking,SC-138,sc138DepositUsdt,/wallet/deposit/:asset,DepositPage,flutter_app/lib/features/wallet/presentation/pages/deposit_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Withdraw and limit controls,SC-139,sc139Withdraw,/wallet/withdraw,WithdrawPage,flutter_app/lib/features/wallet/presentation/pages/withdraw_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Withdraw and limit controls,SC-140,sc140WithdrawUsdt,/wallet/withdraw/:asset,WithdrawPage,flutter_app/lib/features/wallet/presentation/pages/withdraw_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet overview, history and transaction detail",SC-141,sc141TransactionDetail,/wallet/transaction/:txId,TransactionDetailPage,flutter_app/lib/features/wallet/presentation/pages/transaction_detail_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet overview, history and transaction detail",SC-142,sc142PortfolioAnalytics,/wallet/portfolio-analytics,PortfolioAnalyticsPage,flutter_app/lib/features/wallet/presentation/pages/portfolio_analytics_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Address book management,SC-143,sc143AddressAdd,/wallet/address-book/add,AddressAddPage,flutter_app/lib/features/wallet/presentation/pages/address_add_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Address book management,SC-144,sc144AddressBook,/wallet/address-book,AddressBookPage,flutter_app/lib/features/wallet/presentation/pages/address_book_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,"Asset, buy and transfer flows",SC-145,sc145BuyCrypto,/wallet/buy-crypto,BuyCryptoPage,flutter_app/lib/features/wallet/presentation/pages/buy_crypto_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,"Asset, buy and transfer flows",SC-146,sc146Transfer,/wallet/transfer,TransferPage,flutter_app/lib/features/wallet/presentation/pages/transfer_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,"Asset, buy and transfer flows",SC-147,sc147AssetDetail,/wallet/asset/:assetId,AssetDetailPage,flutter_app/lib/features/wallet/presentation/pages/asset_detail_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-148,sc148MultiManager,/wallet/multi-manager,WalletMultiManagerPage,flutter_app/lib/features/wallet/presentation/pages/wallet_multi_manager_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-149,sc149GasOptimizer,/wallet/gas-optimizer,WalletGasOptimizerPage,flutter_app/lib/features/wallet/presentation/pages/wallet_gas_optimizer_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-150,sc150TokenApproval,/wallet/token-approval,WalletTokenApprovalPage,flutter_app/lib/features/wallet/presentation/pages/wallet_token_approval_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-151,sc151HealthScore,/wallet/health-score,WalletHealthScorePage,flutter_app/lib/features/wallet/presentation/pages/wallet_health_score_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Deposit and pending deposit tracking,SC-152,sc152PendingDeposits,/wallet/pending-deposits,PendingDepositsPage,flutter_app/lib/features/wallet/presentation/pages/pending_deposits_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Money Movement,Withdraw and limit controls,SC-153,sc153WithdrawLimits,/wallet/limits,WithdrawLimitsPage,flutter_app/lib/features/wallet/presentation/pages/withdraw_limits_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-154,sc154DustConverter,/wallet/dust-converter,DustConverterPage,flutter_app/lib/features/wallet/presentation/pages/dust_converter_page.dart,wallet_routes.dart
Wallet and Treasury,wallet,Wallet Management and Monitoring,"Wallet operations, gas, approvals and health",SC-155,sc155NetworkStatus,/wallet/network-status,NetworkStatusPage,flutter_app/lib/features/wallet/presentation/pages/network_status_page.dart,wallet_routes.dart
Profile and Account,profile,Profile and Account Management,"Profile, settings and activity",SC-156,sc156Profile,/profile,ProfilePage,flutter_app/lib/features/profile/presentation/pages/profile_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Profile, settings and activity",SC-157,sc157EditProfile,/profile/edit,EditProfilePage,flutter_app/lib/features/profile/presentation/pages/edit_profile_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Profile, settings and activity",SC-158,sc158Security,/profile/security,SecurityPage,flutter_app/lib/features/profile/presentation/pages/security_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Identity, security and devices",SC-159,sc159Kyc,/profile/kyc,KYCPage,flutter_app/lib/features/profile/presentation/pages/kyc_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Identity, security and devices",SC-160,sc160Settings,/profile/settings,SettingsPage,flutter_app/lib/features/profile/presentation/pages/settings_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"API, subaccounts and VIP",SC-161,sc161ActivityLog,/profile/activity,ActivityLogPage,flutter_app/lib/features/profile/presentation/pages/activity_log_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Identity, security and devices",SC-162,sc162ApiKeyCreate,/profile/api/create,ApiKeyCreatePage,flutter_app/lib/features/profile/presentation/pages/api_key_create_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"API, subaccounts and VIP",SC-163,sc163ApiManagement,/profile/api,ApiManagementPage,flutter_app/lib/features/profile/presentation/pages/api_management_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"Profile, settings and activity",SC-164,sc164Vip,/profile/vip,VIPPage,flutter_app/lib/features/profile/presentation/pages/vip_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"API, subaccounts and VIP",SC-165,sc165DeviceManagement,/profile/devices,DeviceManagementPage,flutter_app/lib/features/profile/presentation/pages/device_management_page.dart,profile_routes.dart
Profile and Account,profile,Profile and Account Management,"API, subaccounts and VIP",SC-166,sc166SubAccount,/profile/sub-accounts,SubAccountPage,flutter_app/lib/features/profile/presentation/pages/sub_account_page.dart,profile_routes.dart
Profile and Account,predictions,Profile and Account Management,Profile module summaries,SC-167,sc167ProfilePredictions,/profile/predictions,PredictionsPortfolioPage,flutter_app/lib/features/predictions/presentation/pages/predictions_portfolio_page.dart,profile_routes.dart
Profile and Account,arena,Profile and Account Management,Profile module summaries,SC-168,sc168MyArena,/profile/arena,MyArenaPage,flutter_app/lib/features/arena/presentation/pages/my_arena_page.dart,profile_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA overview and demo,SC-169,sc169Dca,/dca,DCAPage,flutter_app/lib/features/dca/presentation/pages/dca_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA rebalance lifecycle,SC-170,sc170DcaRebalanceConfig,/dca/rebalance/config,DCARebalanceConfig,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_config_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA rebalance lifecycle,SC-171,sc171DcaRebalanceDashboard,/dca/rebalance/config001,DCARebalanceDashboard,flutter_app/lib/features/dca/presentation/pages/dca_rebalance_dashboard_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA schedule lifecycle,SC-172,sc172DcaScheduleConfig,/dca/schedule/config,DCAScheduleConfig,flutter_app/lib/features/dca/presentation/pages/dca_schedule_config_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA schedule lifecycle,SC-173,sc173DcaScheduleAnalytics,/dca/schedule/config001,DCAScheduleAnalytics,flutter_app/lib/features/dca/presentation/pages/dca_schedule_analytics_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-174,sc174DcaPortfolioOptimizer,/dca/portfolio-optimizer,DCAPortfolioOptimizer,flutter_app/lib/features/dca/presentation/pages/dca_portfolio_optimizer_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-175,sc175DcaDynamicAmount,/dca/dynamic-amount,DCADynamicAmount,flutter_app/lib/features/dca/presentation/pages/dca_dynamic_amount_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-176,sc176DcaBacktester,/dca/backtester,DCABacktesterPage,flutter_app/lib/features/dca/presentation/pages/dca_backtester_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-177,sc177DcaMultiAsset,/dca/multi-asset,DCAMultiAssetPage,flutter_app/lib/features/dca/presentation/pages/dca_multi_asset_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-178,sc178DcaPerformanceCompare,/dca/performance-compare,DCAPerformanceComparePage,flutter_app/lib/features/dca/presentation/pages/dca_performance_compare_page.dart,dca_routes.dart
Investment Automation,dca,DCA / Auto-Invest,DCA optimization and strategy tools,SC-179,sc179DcaSmartRules,/dca/smart-rules,DCASmartRulesPage,flutter_app/lib/features/dca/presentation/pages/dca_smart_rules_page.dart,dca_routes.dart
Enterprise Operations,admin,Admin and Analytics,Admin operations,SC-180,sc180AdminHome,/admin,AdminHome,flutter_app/lib/features/admin/presentation/pages/admin_home.dart,admin_routes.dart
Enterprise Operations,admin,Admin and Analytics,Admin analytics dashboards,SC-181,sc181AnalyticsDashboard,/admin/analytics,AnalyticsDashboard,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart,admin_routes.dart
Enterprise Operations,admin,Admin and Analytics,Admin analytics dashboards,SC-182,sc182AbTestDashboard,/admin/abtests,ABTestDashboard,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart,admin_routes.dart
Enterprise Operations,admin,Admin and Analytics,Admin analytics dashboards,SC-183,sc183FunnelDashboard,/admin/funnels,FunnelDashboard,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart,admin_routes.dart
Open Arena,arena,Open Arena Discovery and Management,"Arena discovery, guide and production handoff",SC-184,sc184ArenaHome,/arena,ArenaHomePage,flutter_app/lib/features/arena/presentation/pages/arena_home_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,Arena creation studio,SC-185,sc185ArenaStudio,/arena/studio,ArenaStudioPage,flutter_app/lib/features/arena/presentation/pages/arena_studio_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,Arena creation studio,SC-186,sc186ArenaSmartRules,/arena/studio/smart-rules,ArenaSmartRuleBuilderPage,flutter_app/lib/features/arena/presentation/pages/arena_smart_rule_builder_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,Arena creation studio,SC-187,sc187ArenaPresetLibrary,/arena/studio/presets,ArenaUniversalPresetLibraryPage,flutter_app/lib/features/arena/presentation/pages/arena_universal_preset_library_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,Arena creation studio,SC-188,sc188ArenaGovernanceGate,/arena/studio/governance,ArenaGovernanceGatePage,flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena mode, challenge and resolution flow",SC-189,sc189ArenaModeDetail,/arena/mode/:modeId,ArenaModeDetailPage,flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena mode, challenge and resolution flow",SC-190,sc190ArenaChallengeDetail,/arena/challenge/:challengeId,ArenaChallengeDetailPage,flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena mode, challenge and resolution flow",SC-191,sc191ArenaJoin,/arena/join/:challengeId,ArenaJoinPage,flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena mode, challenge and resolution flow",SC-192,sc192ArenaResolutionCenter,/arena/resolution,ArenaResolutionCenterPage,flutter_app/lib/features/arena/presentation/pages/arena_resolution_center_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena creator, leaderboard and verified challenges",SC-193,sc193ArenaCreator,/arena/creator/:creatorId,ArenaCreatorPage,flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena creator, leaderboard and verified challenges",SC-194,sc194ArenaLeaderboard,/arena/leaderboard,ArenaLeaderboardPage,flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Gameplay and Creation,"Arena creator, leaderboard and verified challenges",SC-195,sc195VerifiedChallenges,/arena/verified,VerifiedChallengesPage,flutter_app/lib/features/arena/presentation/pages/verified_challenges_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Discovery and Management,"Arena discovery, guide and production handoff",SC-197,sc197ArenaFlowMap,/arena/flow-map,ArenaFlowMapPage,flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger","Arena safety, moderation and reporting",SC-198,sc198ArenaSafetyCenter,/arena/safety,ArenaSafetyCenterPage,flutter_app/lib/features/arena/presentation/pages/arena_safety_center_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger",Arena trust and points ledger,SC-199,sc199ArenaTrustBreakdown,/arena/trust/:userId,ArenaTrustBreakdownPage,flutter_app/lib/features/arena/presentation/pages/arena_trust_breakdown_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger",Arena trust and points ledger,SC-200,sc200ArenaPointsEntryDetail,/arena/ledger/entry/:entryId,ArenaPointsEntryDetailPage,flutter_app/lib/features/arena/presentation/pages/arena_points_entry_detail_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger",Arena trust and points ledger,SC-201,sc201ArenaPointsLedger,/arena/ledger,ArenaPointsLedgerPage,flutter_app/lib/features/arena/presentation/pages/arena_points_ledger_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger","Arena safety, moderation and reporting",SC-202,sc202ArenaReportCase,/arena/report/:caseId,ArenaReportCasePage,flutter_app/lib/features/arena/presentation/pages/arena_report_case_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger","Arena safety, moderation and reporting",SC-203,sc203ArenaBlockedUsers,/arena/blocked,ArenaBlockedUsersPage,flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart,arena_routes.dart
Open Arena,arena,"Arena Safety, Trust and Ledger","Arena safety, moderation and reporting",SC-204,sc204MyArenaReports,/arena/my-reports,MyArenaReportsPage,flutter_app/lib/features/arena/presentation/pages/my_arena_reports_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Discovery and Management,My Arena management,SC-205,sc205MyArena,/arena/my,MyArenaPage,flutter_app/lib/features/arena/presentation/pages/my_arena_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Discovery and Management,"Arena discovery, guide and production handoff",SC-206,sc206ArenaProductionReady,/arena/production,ArenaProductionReadyPage,flutter_app/lib/features/arena/presentation/pages/arena_production_ready_page.dart,arena_routes.dart
Open Arena,arena,Arena Prediction Bridge,Arena and Prediction bridge,SC-207,sc207ArenaPredictionBridgeFoundation,/arena/bridge,ArenaPredictionBridgeFoundationPage,flutter_app/lib/features/arena/presentation/pages/arena_prediction_bridge_foundation_page.dart,arena_routes.dart
Open Arena,arena,Arena Prediction Bridge,Arena and Prediction bridge,SC-208,sc208ConnectedEcosystemProduction,/arena/ecosystem,ConnectedEcosystemProductionPage,flutter_app/lib/features/arena/presentation/pages/connected_ecosystem_production_page.dart,arena_routes.dart
Open Arena,arena,Open Arena Discovery and Management,"Arena discovery, guide and production handoff",SC-209,sc209ArenaGuide,/arena/guide,ArenaGuidePage,flutter_app/lib/features/arena/presentation/pages/arena_guide_page.dart,arena_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-210,sc210P2PExpressConfirm,/p2p/express/confirm,P2PExpressConfirmPage,flutter_app/lib/features/p2p/presentation/pages/p2p_express_confirm_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-211,sc211P2PExpress,/p2p/express,P2PExpressPage,flutter_app/lib/features/p2p/presentation/pages/p2p_express_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-212,sc212P2POrderTimeline,/p2p/order/timeline/:orderId,P2POrderTimelinePage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_timeline_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-213,sc213P2POrderRate,/p2p/order/rate/:orderId,P2POrderRatePage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_rate_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-214,sc214P2POrderCancel,/p2p/order/cancel/:orderId,P2POrderCancelPage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_cancel_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-215,sc215P2POrderProof,/p2p/order/proof/:orderId,P2POrderProofPage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_proof_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-216,sc216P2POrder,/p2p/order/:orderId,P2POrderPage,flutter_app/lib/features/p2p/presentation/pages/p2p_order_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P order lifecycle and chat,SC-217,sc217P2PChat,/p2p/chat/:orderId,P2PChatPage,flutter_app/lib/features/p2p/presentation/pages/p2p_chat_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P disputes and evidence,SC-218,sc218P2PDisputeDetail,/p2p/dispute/detail/:disputeId,P2PDisputeDetailPage,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_detail_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P disputes and evidence,SC-219,sc219P2PDisputeEvidence,/p2p/dispute/evidence/:disputeId,P2PDisputeEvidencePage,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_evidence_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P disputes and evidence,SC-220,sc220P2PDisputeResolution,/p2p/dispute/resolution/:disputeId,P2PDisputeResolutionPage,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_resolution_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P disputes and evidence,SC-221,sc221P2PDispute,/p2p/dispute/:orderId,P2PDisputePage,flutter_app/lib/features/p2p/presentation/pages/p2p_dispute_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Trading Lifecycle,P2P disputes and evidence,SC-222,sc222P2PDisputes,/p2p/disputes,P2PDisputesPage,flutter_app/lib/features/p2p/presentation/pages/p2p_disputes_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-223,sc223P2PAdAnalytics,/p2p/ad-analytics/:adId,P2PAdAnalyticsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_analytics_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-224,sc224P2PAdDetail,/p2p/ad/:adId,P2PAdDetailPage,flutter_app/lib/features/p2p/presentation/pages/p2p_ad_detail_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-225,sc225P2PMyAds,/p2p/my-ads,P2PMyAdsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_my_ads_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-226,sc226P2PCreateAd,/p2p/create,P2PCreateAdPage,flutter_app/lib/features/p2p/presentation/pages/p2p_create_ad_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-227,sc227P2PMerchantApply,/p2p/merchant-apply,P2PMerchantApplyPage,flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_apply_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-228,sc228P2PMerchantProfile,/p2p/merchant/:merchantId,P2PMerchantProfilePage,flutter_app/lib/features/p2p/presentation/pages/p2p_merchant_profile_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-229,sc229P2PReportMerchant,/p2p/report/:merchantId,P2PReportMerchantPage,flutter_app/lib/features/p2p/presentation/pages/p2p_report_merchant_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-230,sc230P2PTradingLevel,/p2p/trading-level,P2PTradingLevelPage,flutter_app/lib/features/p2p/presentation/pages/p2p_trading_level_page.dart,p2p_routes.dart
P2P Trading,p2p,P2P Merchant Operations,"P2P ads, merchant and reputation operations",SC-231,sc231P2PReviews,/p2p/reviews,P2PReviewsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_reviews_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-232,sc232P2PPaymentMethodAdd,/p2p/payment-method/add,P2PPaymentMethodAddPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_add_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-233,sc233P2PPaymentMethodVerification,/p2p/payment-method/verification/:methodId,P2PPaymentMethodVerificationPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_verification_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-234,sc234P2PPaymentMethodOwnership,/p2p/payment-method/ownership/:methodId,P2PPaymentMethodOwnershipPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_ownership_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-235,sc235P2PPaymentMethodCoolingPeriod,/p2p/payment-method/cooling-period,P2PPaymentMethodCoolingPeriodPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_cooling_period_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-236,sc236P2PPaymentMethodHistory,/p2p/payment-method/history,P2PPaymentMethodHistoryPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_method_history_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Trust, Security and Payment Methods",P2P payment methods,SC-237,sc237P2PPaymentMethods,/p2p/payment-methods,P2PPaymentMethodsPage,flutter_app/lib/features/p2p/presentation/pages/p2p_payment_methods_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Risk, Compliance and Wallet Operations",P2P insurance fund,SC-238,sc238P2PInsuranceFund,/p2p/insurance,P2PInsuranceFundPage,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_fund_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Risk, Compliance and Wallet Operations",P2P insurance fund,SC-239,sc239P2PInsuranceCertificate,/p2p/insurance/certificate,P2PInsuranceCertificatePage,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_certificate_page.dart,p2p_routes.dart
P2P Trading,p2p,"P2P Risk, Compliance and Wallet Operations",P2P insurance fund,SC-240,sc240P2PInsuranceScore,/p2p/insurance/score,P2PInsuranceScorePage,flutter_app/lib/features/p2p/presentation/pages/p2p_insurance_score_page.dart,p2p_routes.dart
